"","title","male_vs_female","male_rating","genre","popular","budget","young","critics","reviews","male_vote_prop","male_votes","duration","year","male_gt_female","total_votes","comedy","drama"
"10845","The Interview",0.2,6.5,"Action",301407,4.4e+07,0.357896340863957,301,929,0.673872357904012,203436,112,2014,1,301891,"no","no"
"10847","Il drago invisibile",-0.300000000000001,6.6,"Action",52452,6.5e+07,0.233377659574468,242,165,0.596645005289406,31584,102,2016,0,52936,"no","no"
"10852","The Opposite Sex",-0.0999999999999996,4.5,"Comedy",454,3300000,0.163934426229508,3,3,0.650319829424307,610,97,2014,0,938,"no","no"
"10855","Atlas Shrugged: Part III",-0.3,4.2,"Drama",2472,5e+06,0.0762994754411063,16,75,0.709404600811908,2097,99,2014,0,2956,"no","no"
"10858","Home Sweet Hell",0.3,5.5,"Comedy",13528,3e+06,0.179293544457978,32,50,0.585926348843848,8210,98,2015,1,14012,"no","no"
"10861","The Slender Man",0,3.3,"Horror",-32,10000,0.244444444444444,2,11,0.597345132743363,270,78,2013,0,452,"no","no"
"10871","Mike & Dave - Un matrimonio da sballo",-0.199999999999999,5.9,"Comedy",80287,3.3e+07,0.310592175231372,175,161,0.547139443612188,44193,98,2016,0,80771,"no","no"
"10883","Ghost Movie 2 - Questa volta è guerra",-0.2,4.6,"Comedy",18879,4e+06,0.380567735979691,70,55,0.671331921706347,12999,86,2014,0,19363,"no","no"
"10885","The Posthuman Project",-0.6,3.7,"Action",-190,60000,0.186170212765957,1,8,0.639455782312925,188,93,2014,0,294,"no","no"
"10886","Bereave",-0.3,5.9,"Drama",-343,1e+06,0.133333333333333,11,4,0.638297872340426,90,100,2015,0,141,"no","no"
"10894","Amnesiac",0,4.3,"Drama",2974,3e+06,0.117103235747304,31,29,0.563042220936958,1947,90,2014,0,3458,"no","no"
"10902","Pitch Perfect 2",-0.399999999999999,6.2,"Comedy",139082,2.9e+07,0.334898513079241,242,226,0.430312540303512,60057,115,2015,0,139566,"no","no"
"10911","Prendimi!",-0.2,6.5,"Action",108779,2.8e+07,0.295812696983341,195,478,0.589485919295644,64409,100,2018,0,109263,"no","no"
"10915","Un poliziotto ancora in prova",-0.4,5.8,"Action",51925,4e+07,0.366367361696999,131,82,0.633250014310519,33188,102,2016,0,52409,"no","no"
"10917","Necropolis - La città dei morti",-0.300000000000001,6.1,"Horror",73509,5e+06,0.27095046854083,216,357,0.605732974740854,44820,93,2014,0,73993,"no","no"
"10918","Wish I Was Here",-0.2,6.6,"Comedy",35695,6e+06,0.245702864756829,155,111,0.622322341689931,22515,106,2014,0,36179,"no","no"
"10921","Lo sciacallo - Nightcrawler",0.300000000000001,7.9,"Crime",448728,8500000,0.341217812324341,560,782,0.645528169327623,289979,117,2014,1,449212,"no","no"
"10924","Red Sparrow",-0.100000000000001,6.6,"Action",158873,6.9e+07,0.228272435088797,348,988,0.572067747259298,91163,140,2018,0,159357,"no","no"
"10930","Black or White",-0.3,6.5,"Drama",10989,9e+06,0.136793294096665,95,65,0.488712629652227,5607,121,2014,0,11473,"no","no"
"10934","99 Homes",0.0999999999999996,7.1,"Drama",29111,8e+06,0.213755833947433,215,114,0.687785098834263,20355,112,2014,1,29595,"no","no"
"10938","All Hallows' Eve",0.399999999999999,5.1,"Horror",5136,5e+05,0.203866932044356,47,95,0.625800711743772,3517,83,2013,1,5620,"no","no"
"10943","Jurassic City",-2,3,"Action",1248,1500000,0.162872154115587,15,29,0.659353348729792,1142,88,2015,0,1732,"no","no"
"10952","The Signal",0.0999999999999996,6.1,"Drama",61105,4e+06,0.172103965942191,172,282,0.724642387439315,44630,97,2014,1,61589,"no","no"
"10958","Deep Dark",0.199999999999999,5.1,"Fantasy",1681,5e+06,0.111923920994879,20,30,0.631408775981524,1367,79,2015,1,2165,"no","no"
"10959","The Lazarus Effect",-0.0999999999999996,5.2,"Horror",39876,3300000,0.230015264722423,166,176,0.616798810703667,24894,83,2015,0,40360,"no","no"
"10963","God's Pocket",0.0999999999999996,6.1,"Crime",10132,1e+06,0.111637434387402,106,73,0.735776186887717,7811,88,2014,1,10616,"no","no"
"10978","Superfast & Superfurious - Solo party originali",-0.2,4,"Comedy",8079,2e+07,0.343445633083187,22,57,0.731402545836739,6263,99,2015,0,8563,"no","no"
"10986","Tutti vogliono qualcosa",0.5,7,"Comedy",50469,1e+07,0.300844315134919,278,162,0.688045846171962,35058,117,2016,1,50953,"no","no"
"11011","Happy Christmas",0.399999999999999,5.6,"Comedy",7065,70000,0.206834532374101,66,50,0.515564975493443,3892,82,2014,1,7549,"no","no"
